2025-03-17 10:32:23,058, INFO, EF_2022_LL_V1, lp, 4750006225000, Noll-värde i lastprofil
2025-03-17 10:32:23,059, INFO, EF_2022_LL_V1, lp, 4750006226000, Noll-värde i lastprofil
2025-03-17 10:32:23,059, INFO, EF_2022_LL_V1, lp, 4750006227000, Noll-värde i lastprofil
2025-03-17 10:32:23,059, INFO, EF_2022_LL_V1, lp, 4750006229000, Noll-värde i lastprofil
2025-03-17 10:32:23,060, INFO, EF_2022_LL_V1, lp, 4750006230000, Noll-värde i lastprofil
2025-03-17 10:32:23,060, INFO, EF_2022_LL_V1, lp, 4750006231000, Noll-värde i lastprofil
2025-03-17 10:32:23,060, INFO, EF_2022_LL_V1, lp, 4750006232000, Noll-värde i lastprofil
2025-03-17 10:32:23,060, INFO, EF_2022_LL_V1, lp, 4750006236000, Noll-värde i lastprofil
2025-03-17 10:32:23,060, INFO, EF_2022_LL_V1, lp, 4750006240000, Noll-värde i lastprofil
2025-03-17 10:32:23,061, INFO, EF_2022_LL_V1, lp, 4750006244000, Noll-värde i lastprofil
2025-03-17 10:32:23,061, INFO, EF_2022_LL_V1, lp, 4750006245000, Noll-värde i lastprofil
2025-03-17 10:32:23,061, INFO, EF_2022_LL_V1, lp, 4750006248000, Noll-värde i lastprofil
2025-03-17 10:32:23,061, INFO, EF_2022_LL_V1, lp, 4750006250000, Noll-värde i lastprofil
2025-03-17 10:32:23,062, INFO, EF_2022_LL_V1, lp, 4760006206000, Noll-värde i lastprofil
2025-03-17 10:32:23,062, INFO, EF_2022_LL_V1, lp, 4760006211000, Noll-värde i lastprofil
2025-03-17 10:32:23,063, INFO, EF_2022_LL_V1, lp, 4760006218000, Noll-värde i lastprofil
2025-03-17 10:32:23,063, INFO, EF_2022_LL_V1, lp, 4760006219000, Noll-värde i lastprofil
2025-03-17 10:32:23,063, INFO, EF_2022_LL_V1, lp, 4760006220000, Noll-värde i lastprofil
2025-03-17 10:32:23,063, INFO, EF_2022_LL_V1, lp, 4760006221000, Noll-värde i lastprofil
2025-03-17 10:32:23,063, INFO, EF_2022_LL_V1, lp, 4760006224000, Noll-värde i lastprofil
2025-03-17 10:32:23,064, INFO, EF_2022_LL_V1, lp, 4760006225000, Noll-värde i lastprofil
2025-03-17 10:32:23,064, INFO, EF_2022_LL_V1, lp, 4760006227000, Noll-värde i lastprofil
2025-03-17 10:32:23,064, INFO, EF_2022_LL_V1, lp, 4760006230000, Noll-värde i lastprofil
2025-03-17 10:32:23,064, INFO, EF_2022_LL_V1, lp, 4760006231000, Noll-värde i lastprofil
2025-03-17 10:32:23,065, INFO, EF_2022_LL_V1, lp, 4760006237000, Noll-värde i lastprofil
2025-03-17 10:32:23,065, INFO, EF_2022_LL_V1, lp, 4760006243000, Noll-värde i lastprofil
2025-03-17 10:32:23,065, INFO, EF_2022_LL_V1, lp, 4760006244000, Noll-värde i lastprofil
2025-03-17 10:32:23,065, INFO, EF_2022_LL_V1, lp, 4760006248000, Noll-värde i lastprofil
2025-03-17 10:32:23,065, INFO, EF_2022_LL_V1, lp, 4760006249000, Noll-värde i lastprofil
2025-03-17 10:32:23,066, INFO, EF_2022_LL_V1, lp, 4770006206000, Noll-värde i lastprofil
2025-03-17 10:32:23,066, INFO, EF_2022_LL_V1, lp, 4770006207000, Noll-värde i lastprofil
2025-03-17 10:32:23,066, INFO, EF_2022_LL_V1, lp, 4770006208000, Noll-värde i lastprofil
2025-03-17 10:32:23,066, INFO, EF_2022_LL_V1, lp, 4770006210000, Noll-värde i lastprofil
2025-03-17 10:32:23,067, INFO, EF_2022_LL_V1, lp, 4770006212000, Noll-värde i lastprofil
2025-03-17 10:32:23,067, INFO, EF_2022_LL_V1, lp, 4770006220000, Noll-värde i lastprofil
2025-03-17 10:32:23,067, INFO, EF_2022_LL_V1, lp, 4770006221000, Noll-värde i lastprofil
2025-03-17 10:32:23,067, INFO, EF_2022_LL_V1, lp, 4770006223000, Noll-värde i lastprofil
2025-03-17 10:32:23,068, INFO, EF_2022_LL_V1, lp, 4770006224000, Noll-värde i lastprofil
2025-03-17 10:32:23,068, INFO, EF_2022_LL_V1, lp, 4770006225000, Noll-värde i lastprofil
2025-03-17 10:32:23,068, INFO, EF_2022_LL_V1, lp, 4770006232000, Noll-värde i lastprofil
2025-03-17 10:32:23,068, INFO, EF_2022_LL_V1, lp, 4770006236000, Noll-värde i lastprofil
2025-03-17 10:32:23,069, INFO, EF_2022_LL_V1, lp, 4770006237000, Noll-värde i lastprofil
2025-03-17 10:32:23,069, INFO, EF_2022_LL_V1, lp, 4770006248000, Noll-värde i lastprofil
2025-03-17 10:32:23,069, INFO, EF_2022_LL_V1, lp, 4780006206000, Noll-värde i lastprofil
2025-03-17 10:32:23,070, INFO, EF_2022_LL_V1, lp, 4780006207000, Noll-värde i lastprofil
2025-03-17 10:32:23,070, INFO, EF_2022_LL_V1, lp, 4780006208000, Noll-värde i lastprofil
